SiteID,SiteName,Region,AnalysisEndDate,SamplingDate,Month,Year,SoilType,Crop,CropID,Growth Stage,SoilLayer,Layer depth (cm),Bulk density,pH,Total Nitrogen,Total Carbon,OrganicMatter,Carbon-Nitrogen ratio,Potentially Available N,AmmoniacalN,NitrateN,MineralN,Mineral N (kg/ha),Mineral N + PAN (kg/ha),Total Hot water N (kg/ha),Hot water N INORGANIC (kg/ha),Hot water N organic(kg/ha),Hot WaterN,HotWaterSolubleInorganicN,HotWaterSolubleOrganicN,OlsenP,CalciumQT,MagnesiumQT,PotassiumQT,SodiumQT,Note,Lab,HWN to kgN for Mineralisable calc,,,,,,,,,,,,
8a,Lovett,Canterbury,25/11/2021,17/11/2021,11,2021,Sedimentary,Wheat - Sandy,8Wheat-A,,0 - 15 cm,15,1.24,6.5,0.2%,2.0%,3.4%,,66,2,3,5,9,75.30339304,199,26,173,107,14,93,44,12,27,12,6,,Eurofins,132.7284074,,,,,,,,,,,,
8a,Lovett,Canterbury,25/11/2021,17/11/2021,11,2021,Sedimentary,Wheat - Sandy,8Wheat-A,,15 - 30 cm,15,1.29,6,0.1%,1.1%,1.9%,,19,2,1,3,6,24.80382578,85,15,70,44,8,36,33,8,18,5,6,,Eurofins,56.74851877,,,,,,,,,,,,
8a,Lovett,Canterbury,25/11/2021,17/11/2021,11,2021,Sedimentary,Wheat - Sandy,8Wheat-A,,30 - 60 cm,30,1.47,,,,,,,2,0,2,9,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
8a,Lovett,Canterbury,25/11/2021,17/11/2021,11,2021,Sedimentary,Wheat - Sandy,8Wheat-A,,60 - 90 cm,30,1.48,,,,,,,2,1,3,13.29601615,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
8,Lovett,Canterbury,03/09/2020,28/08/2020,8,2020,Sedimentary,Fallow,Fallow,Fallow,0 - 15 cm,15,0.69,6.2,0.2%,2.4%,4.1%,,104,3,9,11,11,115,129,0,0,124,,,38,8.5,1.31,1.1,0.18,,Eurofins,86.1031775,,,,,,,,,,,,
8,Lovett,Canterbury,03/09/2020,28/08/2020,8,2020,Sedimentary,Fallow,Fallow,Fallow,15 - 30 cm,15,0.94,5.9,0.3%,4.3%,7.4%,,111,2,5,7,10,121,109,0,0,77,,,31,7.7,1.19,0.55,0.15,,Eurofins,72.6705108,,,,,,,,,,,,
8,Lovett,Canterbury,03/09/2020,28/08/2020,8,2020,Sedimentary,Fallow,Fallow,Fallow,30 - 60 cm,30,0.91,,,,,,,1,1,2,5.441403912,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
8,Lovett,Canterbury,03/09/2020,28/08/2020,8,2020,Sedimentary,Fallow,Fallow,Fallow,60 - 90 cm,30,0.76,,,,,,,1,2,3,6.856376113,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
2,Jivans,Pukekohe,02/12/2021,23/11/2021,11,2021,Volcanic,Onions,2Oni-A,Growth,0 - 15 cm,15,1.00,6.6,0.2%,2.0%,3.4%,,24,2,10,12,18,42,102,39,63,68,26,42,216,18,47,42,7,,Eurofins,68.16718645,,,,,,,,,,,,
2,Jivans,Pukekohe,02/12/2021,23/11/2021,11,2021,Volcanic,Onions,2Oni-A,Growth,15 - 30 cm,15,1.08,6.7,0.2%,1.9%,3.3%,,19,2,5,7,11.33345512,30.33345512,100,45,57,62,28,35,207,18,48,36,8,,Eurofins,66.92135403,,,,,,,,,,,,
2,Jivans,Pukekohe,02/12/2021,23/11/2021,11,2021,Volcanic,Onions,2Oni-A,Growth,30 - 60 cm,30,0.92,,,,,,,3,10,13,35.79965995,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
2,Jivans,Pukekohe,02/12/2021,23/11/2021,11,2021,Volcanic,Onions,2Oni-A,Growth,60 - 90 cm,30,0.88,,,,,,,3,14,16,42.14749364,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
1,Wilcox,Pukekawa,09/12/2021,01/12/2021,12,2021,Volcanic,Onions,1Oni-A,Pre-harvest,0 - 15 cm,15,1.02,6.5,0.2%,2.2%,3.8%,,60,18,8,26,39.63159023,99.63159023,104,41,62,68,27,41,175,14,21,19,6,,Eurofins,69.10123425,,,,,,,,,,,,
1,Wilcox,Pukekawa,09/12/2021,01/12/2021,12,2021,Volcanic,Onions,1Oni-A,Pre-harvest,15 - 30 cm,15,1.05,5.6,0.2%,1.8%,3.0%,,22,7,4,11,17.36086843,39.36086843,32,13,19,20,8,12,85,11,15,14,7,,Eurofins,21.04347688,,,,,,,,,,,,
1,Wilcox,Pukekawa,09/12/2021,01/12/2021,12,2021,Volcanic,Onions,1Oni-A,Pre-harvest,30 - 60 cm,30,0.91,,,,,,,4,5,9,24.4863176,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
1,Wilcox,Pukekawa,09/12/2021,01/12/2021,12,2021,Volcanic,Onions,1Oni-A,Pre-harvest,60 - 90 cm,30,0.76,,,,,,,6,20,27,61.70738501,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,09/12/2021,29/11/2021,11,2021,Sedimentary,Squash,7BS-B,Growth,0 - 15 cm,15,1.03,5.7,0.2%,2.1%,3.6%,,29,2,30,31,47.70547075,76.70547075,155,55,100,101,36,65,29,17,49,15,6,,Eurofins,103.6183343,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,09/12/2021,29/11/2021,11,2021,Sedimentary,Squash,7BS-B,Growth,15 - 30 cm,15,1.02,5.8,0.2%,1.8%,3.1%,,19,2,36,38,57.94497482,76.94497482,134,63,72,88,41,47,18,18,52,8,8,,Eurofins,89.4589085,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,09/12/2021,29/11/2021,11,2021,Sedimentary,Squash,7BS-B,Growth,30 - 60 cm,30,1.05,,,,,,,2,23,25,78.75,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,09/12/2021,29/11/2021,11,2021,Sedimentary,Squash,7BS-B,Growth,60 - 90 cm,30,1.05,,,,,,,2,15,17,53.55,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
3,Bhana,Tuakau,15/12/2021,07/12/2021,12,2021,Volcanic,Fallow,Fallow,Fallow,0 - 15 cm,15,0.69,6.3,0.2%,2.4%,4.1%,,39,6,4,10,10.41570696,49.41570696,53,19,34,51,18,33,85,14,39,18,8,,Eurofins,35.41340365,,,,,,,,,,,,
3,Bhana,Tuakau,15/12/2021,07/12/2021,12,2021,Volcanic,Fallow,Fallow,Fallow,15 - 30 cm,15,0.94,6.3,0.2%,2.3%,4.0%,,26,5,2,8,11.32527441,37.32527441,74,28,47,52,20,33,82,13,36,17,8,,Eurofins,49.07618911,,,,,,,,,,,,
3,Bhana,Tuakau,15/12/2021,07/12/2021,12,2021,Volcanic,Fallow,Fallow,Fallow,30 - 60 cm,30,0.91,,,,,,,3,2,4,10.88280782,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
3,Bhana,Tuakau,15/12/2021,07/12/2021,12,2021,Volcanic,Fallow,Fallow,Fallow,60 - 90 cm,30,0.76,,,,,,,3,0,3,6.856376113,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
6,Woodhaven,Levin,21/12/2021,11/12/2021,12,2021,Sedimentary,Fallow,Fallow,Fallow,0 - 15 cm,15,0.69,,,,,,,2,0,2,2.083141391,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
6,Woodhaven,Levin,21/12/2021,11/12/2021,12,2021,Sedimentary,Fallow,Fallow,Fallow,15 - 30 cm,15,0.94,,,,,,,2,2,4,5.662637206,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
6,Woodhaven,Levin,21/12/2021,11/12/2021,12,2021,Sedimentary,Fallow,Fallow,Fallow,30 - 60 cm,30,0.91,,,,,,,2,0,2,5.441403912,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
6,Woodhaven,Levin,21/12/2021,11/12/2021,12,2021,Sedimentary,Fallow,Fallow,Fallow,60 - 90 cm,30,0.76,,,,,,,2,0,2,4.570917408,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,11/01/2022,14/12/2021,12,2021,Sedimentary,Squash,7BS-B,Growth,0 - 15 cm,15,1.03,5.8,0.2%,2.0%,3.5%,,30,2,21,23,35.39438152,65.39438152,132,37,95,86,24,62,29,18,52,13,5,,Eurofins,88.22947278,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,11/01/2022,14/12/2021,12,2021,Sedimentary,Squash,7BS-B,Growth,15 - 30 cm,15,1.02,5.7,0.2%,1.9%,3.2%,,26,0,43,43,65.56931361,91.56931361,142,70,73,93,46,48,24,18,54,11,6,,Eurofins,94.54180103,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,11/01/2022,14/12/2021,12,2021,Sedimentary,Squash,7BS-B,Growth,30 - 60 cm,30,1.05,,,,,,,2,31,34,107.1,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,11/01/2022,14/12/2021,12,2021,Sedimentary,Squash,7BS-B,Growth,60 - 90 cm,30,1.05,,,,,,,2,15,17,53.55,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
4,Balles,Matamata,11/01/2022,16/12/2021,12,2021,Volcanic,Maize,4Maize-A,Growth,0 - 15 cm,15,0.83,5.9,0.5%,4.7%,8.1%,,63,2,97,100,123.7722322,186.7722322,345,239,106,279,193,86,33,11,30,11,4,,Eurofins,230.2163519,,,,,,,,,,,,
4,Balles,Matamata,11/01/2022,16/12/2021,12,2021,Volcanic,Maize,4Maize-A,Growth,15 - 30 cm,15,0.82,6.3,0.3%,3.1%,5.4%,,30,2,35,38,46.87549971,76.87549971,97,53,43,79,43,35,19,10,26,6,7,,Eurofins,64.96779785,,,,,,,,,,,,
4,Balles,Matamata,11/01/2022,16/12/2021,12,2021,Volcanic,Maize,4Maize-A,Growth,30 - 60 cm,30,0.81,,,,,,,3,20,24,58.48237849,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
4,Balles,Matamata,11/01/2022,16/12/2021,12,2021,Volcanic,Maize,4Maize-A,Growth,60 - 90 cm,30,0.81,,,,,,,4,16,19,46.37012227,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
5,Pescini,Levin,11/01/2022,11/12/2021,12,2021,Sedimentary,Onions,5Oni-A,Growth,0 - 15 cm,15,1.08,7,0.3%,3.3%,5.8%,,40,2,5,7,11.33762489,51.33762489,100,23,78,62,14,48,94,17,24,24,4,,Eurofins,66.94597557,,,,,,,,,,,,
5,Pescini,Levin,11/01/2022,11/12/2021,12,2021,Sedimentary,Onions,5Oni-A,Growth,15 - 30 cm,15,1.10,6.8,0.3%,3.2%,5.5%,,29,2,4,7,11.59642908,40.59642908,101,18,83,61,11,50,87,15,25,21,5,,Eurofins,67.36973086,,,,,,,,,,,,
5,Pescini,Levin,11/01/2022,11/12/2021,12,2021,Sedimentary,Onions,5Oni-A,Growth,30 - 60 cm,30,1.15,,,,,,,2,3,5,17.29515106,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
5,Pescini,Levin,11/01/2022,11/12/2021,12,2021,Sedimentary,Onions,5Oni-A,Growth,60 - 90 cm,30,1.42,,,,,,,2,3,5,21.36898395,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
2,Jivans,Pukekohe,11/01/2022,20/12/2021,12,2021,Volcanic,Onions,2Oni-A,Pre-harvest,0 - 15 cm,15,1.00,6.5,0.2%,2.0%,3.4%,,44,5,10,15,22.55531905,66.55531905,111,53,59,74,35,39,170,17,44,39,7,,Eurofins,74.1819382,,,,,,,,,,,,
2,Jivans,Pukekohe,11/01/2022,20/12/2021,12,2021,Volcanic,Onions,2Oni-A,Pre-harvest,15 - 30 cm,15,1.08,6.7,0.2%,1.9%,3.2%,,22,3,6,8,12.95252013,34.95252013,108,73,36,67,45,22,171,17,44,34,8,,Eurofins,72.31823742,,,,,,,,,,,,
2,Jivans,Pukekohe,11/01/2022,20/12/2021,12,2021,Volcanic,Onions,2Oni-A,Pre-harvest,30 - 60 cm,30,0.92,,,,,,,3,5,9,24.78437997,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
2,Jivans,Pukekohe,11/01/2022,20/12/2021,12,2021,Volcanic,Onions,2Oni-A,Pre-harvest,60 - 90 cm,30,0.88,,,,,,,5,15,20,52.68436705,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
8,Lovett,Canterbury,11/01/2022,20/12/2021,12,2021,Sedimentary,Wheat,8Wheat-A,Growth,0 - 15 cm,15,1.24,6.4,0.2%,2.4%,4.1%,,70,2,6,8,14.88542887,84.88542887,242,39,203,130,21,109,33,13,29,12,5,,Eurofins,161.2588127,,,,,,,,,,,,
8,Lovett,Canterbury,11/01/2022,20/12/2021,12,2021,Sedimentary,Wheat,8Wheat-A,Growth,15 - 30 cm,15,1.29,6.1,0.1%,1.7%,3.0%,,46,3,3,6,11.60765157,57.60765157,166,29,135,86,15,70,26,12,30,6,8,,Eurofins,110.9175594,,,,,,,,,,,,
8,Lovett,Canterbury,11/01/2022,20/12/2021,12,2021,Sedimentary,Wheat,8Wheat-A,Growth,30 - 60 cm,30,1.47,,,,,,,3,2,5,21.98064162,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
8,Lovett,Canterbury,11/01/2022,20/12/2021,12,2021,Sedimentary,Wheat,8Wheat-A,Growth,60 - 90 cm,30,1.48,,,,,,,3,0,3,13.29601615,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
9,Oakley,Canterbury,11/01/2022,20/12/2021,12,2021,Sedimentary,Turf Grass,9Gra-A,Growth,0 - 15 cm,15,1.33,6.5,0.2%,3.0%,5.2%,,67,3,5,9,17.96202205,84.96202205,287,48,239,144,24,120,18,13,22,12,5,,Eurofins,191.5949018,,,,,,,,,,,,
9,Oakley,Canterbury,11/01/2022,20/12/2021,12,2021,Sedimentary,Turf Grass,9Gra-A,Growth,15 - 30 cm,15,1.37,5.9,0.2%,1.7%,2.9%,,31,31,3,34,69.74509128,100.7450913,133,35,101,65,17,49,7,8,17,5,6,,Eurofins,88.89080262,,,,,,,,,,,,
9,Oakley,Canterbury,11/01/2022,20/12/2021,12,2021,Sedimentary,Turf Grass,9Gra-A,Growth,30 - 60 cm,30,1.05,,,,,,,2,3,5,15.75,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
9,Oakley,Canterbury,11/01/2022,20/12/2021,12,2021,Sedimentary,Turf Grass,9Gra-A,Growth,60 - 90 cm,30,1.05,,,,,,,3,3,6,18.9,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
2,Jivans,Pukekohe,20/01/2022,12/01/2022,1,2022,Volcanic,Fallow,Fallow,Fallow,0 - 15 cm,15,0.69,6.6,0.2%,2.0%,3.4%,12,28,6,9,15,15.62356043,43.62356043,46,26,20,44,25,19,169,18,48,40,9,,Eurofins,30.5527404,,,,,,,,,,,,
2,Jivans,Pukekohe,20/01/2022,12/01/2022,1,2022,Volcanic,Fallow,Fallow,Fallow,15 - 30 cm,15,0.94,6.7,0.2%,1.9%,3.2%,12,22,2,6,8,11.32527441,33.32527441,51,30,21,36,21,15,150,18,46,37,9,,Eurofins,33.97582323,,,,,,,,,,,,
2,Jivans,Pukekohe,20/01/2022,12/01/2022,1,2022,Volcanic,Fallow,Fallow,Fallow,30 - 60 cm,30,0.91,,,,,,,3,4,7,19.04491369,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
2,Jivans,Pukekohe,20/01/2022,12/01/2022,1,2022,Volcanic,Fallow,Fallow,Fallow,60 - 90 cm,30,0.76,,,,,,,2,10,13,29.71096315,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,20/01/2022,10/01/2022,1,2022,Sedimentary,Squash,7BS-B,Growth,0 - 15 cm,15,1.03,5.6,0.2%,2.2%,3.7%,11,38,2,33,35,53.86101536,91.86101536,159,55,103,103,36,67,25,19,55,14,5,,Eurofins,105.6701825,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,20/01/2022,10/01/2022,1,2022,Sedimentary,Squash,7BS-B,Growth,15 - 30 cm,15,1.02,5.8,0.2%,1.9%,3.3%,10,24,2,32,34,51.84550379,75.84550379,119,49,70,78,32,46,19,19,57,10,7,,Eurofins,79.29312344,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,20/01/2022,10/01/2022,1,2022,Sedimentary,Squash,7BS-B,Growth,30 - 60 cm,30,1.05,,,,,,,2,25,28,88.2,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
1,Wilcox,Pukekawa,20/01/2022,12/01/2022,1,2022,Volcanic,Fallow,Fallow,Fallow,0 - 15 cm,15,0.69,6.3,0.1%,2.0%,3.5%,14,40,26,12,38,39.57968643,79.57968643,37,23,15,36,22,14,116,14,21,19,6,,Eurofins,24.99769669,,,,,,,,,,,,
1,Wilcox,Pukekawa,20/01/2022,12/01/2022,1,2022,Volcanic,Fallow,Fallow,Fallow,15 - 30 cm,15,0.94,5.5,0.1%,1.4%,2.5%,13,15,6,4,10,14.15659301,29.15659301,14,8,6,10,6,4,29,10,15,13,9,,Eurofins,9.437728676,,,,,,,,,,,,
1,Wilcox,Pukekawa,20/01/2022,12/01/2022,1,2022,Volcanic,Fallow,Fallow,Fallow,30 - 60 cm,30,0.91,,,,,,,5,4,9,24.4863176,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
3,Bhana,Tuakau,25/01/2022,14/01/2022,1,2022,Volcanic,Fallow,Fallow,Fallow,0 - 15 cm,15,0.69,6.2,0.2%,2.5%,4.3%,13,28,5,3,9,9.37413626,37.37413626,50,18,32,48,17,31,66,14,36,17,8,,Eurofins,33.33026226,,,,,,,,,,,,
3,Bhana,Tuakau,25/01/2022,14/01/2022,1,2022,Volcanic,Fallow,Fallow,Fallow,15 - 30 cm,15,0.94,6,0.1%,2.1%,3.7%,15,20,2,6,8,11.32527441,31.32527441,41,24,18,29,17,13,43,13,34,10,10,,Eurofins,27.36941316,,,,,,,,,,,,
3,Bhana,Tuakau,25/01/2022,14/01/2022,1,2022,Volcanic,Fallow,Fallow,Fallow,30 - 60 cm,30,0.91,,,,,,,3,4,7,19.04491369,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
4,Balles,Matamata,27/01/2022,19/01/2022,1,2022,Volcanic,Maize,4Maize-A,Growth,0 - 15 cm,15,0.83,6.2,0.4%,4.4%,7.6%,10,39,3,44,47,58.17294913,97.17294913,182,84,98,147,68,79,32,12,31,8,6,,Eurofins,121.2967876,,,,,,,,,,,,
4,Balles,Matamata,27/01/2022,19/01/2022,1,2022,Volcanic,Maize,4Maize-A,Growth,15 - 30 cm,15,0.82,6.5,0.3%,2.9%,5.0%,10,19,2,14,16,19.73705251,38.73705251,65,25,41,53,20,33,12,10,26,4,8,,Eurofins,43.58599096,,,,,,,,,,,,
4,Balles,Matamata,27/01/2022,19/01/2022,1,2022,Volcanic,Maize,4Maize-A,Growth,30 - 60 cm,30,0.81,,,,,,,2,15,17,41.4250181,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
6,Woodhaven,Levin,26/01/2022,12/01/2022,1,2022,Sedimentary,Cabbage,6Cab-A,Growth,0 - 15 cm,15,1.04,6.8,0.3%,2.5%,4.3%,10,94,10,46,56,87.27399806,181.2739981,245,122,122,157,78,78,120,20,52,27,5,,Eurofins,163.1192583,,,,,,,,,,,,
6,Woodhaven,Levin,26/01/2022,12/01/2022,1,2022,Sedimentary,Cabbage,6Cab-A,Growth,15 - 30 cm,15,1.30,7.2,0.2%,2.3%,4.0%,11,30,2,9,11,21.52935523,51.52935523,135,29,106,69,15,54,97,19,48,15,4,,Eurofins,90.03184916,,,,,,,,,,,,
6,Woodhaven,Levin,26/01/2022,12/01/2022,1,2022,Sedimentary,Cabbage,6Cab-A,Growth,30 - 60 cm,30,1.45,,,,,,,7,7,15,65.15464341,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
6,Woodhaven,Levin,26/01/2022,12/01/2022,1,2022,Sedimentary,Cabbage,6Cab-A,Growth,60 - 90 cm,30,1.43,,,,,,,2,0,2,8.56925372,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
5,Pescini,Levin,26/01/2022,13/01/2022,1,2022,Sedimentary,Onions,5Oni-A,Growth,0 - 15 cm,15,1.08,6.9,0.3%,3.2%,5.5%,11,33,2,4,5,8.098303496,41.0983035,118,16,102,73,10,63,74,15,23,24,4,,Eurofins,78.82348736,,,,,,,,,,,,
5,Pescini,Levin,26/01/2022,13/01/2022,1,2022,Sedimentary,Onions,5Oni-A,Growth,15 - 30 cm,15,1.10,6.7,0.3%,3.1%,5.4%,11,24,2,3,5,8.28316363,32.28316363,103,17,86,62,10,52,62,14,24,21,4,,Eurofins,68.47415267,,,,,,,,,,,,
5,Pescini,Levin,26/01/2022,13/01/2022,1,2022,Sedimentary,Onions,5Oni-A,Growth,30 - 60 cm,30,1.15,,,,,,,2,3,5,17.29515106,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
5,Pescini,Levin,26/01/2022,13/01/2022,1,2022,Sedimentary,Onions,5Oni-A,Growth,60 - 90 cm,30,1.42,,,,,,,2,3,6,25.64278074,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
9,Oakley,Canterbury,02/02/2022,19/01/2022,1,2022,Sedimentary,Turf Grass,9Gra-A,Growth,0 - 15 cm,15,1.33,6.6,0.3%,3.0%,5.2%,12,101,1,2,4,7.983120909,108.9831209,295,34,261,148,17,131,21,13,22,15,5,,Eurofins,196.9169824,,,,,,,,,,,,
9,Oakley,Canterbury,02/02/2022,19/01/2022,1,2022,Sedimentary,Turf Grass,9Gra-A,Growth,15 - 30 cm,15,1.37,6,0.2%,1.9%,3.3%,11,29,3,1,5,10.25663107,39.25663107,125,14,111,61,7,54,11,8,16,6,6,,Eurofins,83.42059938,,,,,,,,,,,,
9,Oakley,Canterbury,02/02/2022,19/01/2022,1,2022,Sedimentary,Turf Grass,9Gra-A,Growth,30 - 60 cm,30,1.05,,,,,,,2,0,2,6.3,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
9,Oakley,Canterbury,02/02/2022,19/01/2022,1,2022,Sedimentary,Turf Grass,9Gra-A,Growth,60 - 90 cm,30,1.05,,,,,,,1,0,1,3.15,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
1,Wilcox,Pukekawa,04/02/2022,26/01/2022,1,2022,Volcanic,Fallow,Fallow,Fallow,0 - 15 cm,15,0.69,6.3,0.2%,2.2%,3.8%,13,58,19,13,32,33.33026226,91.33026226,76,39,37,73,37,36,176,14,26,20,5,,Eurofins,50.68977385,,,,,,,,,,,,
1,Wilcox,Pukekawa,04/02/2022,26/01/2022,1,2022,Volcanic,Fallow,Fallow,Fallow,15 - 30 cm,15,0.94,5.8,0.1%,1.8%,3.1%,13,20,4,4,9,12.74093371,32.74093371,33,11,20,23,8,14,86,12,17,14,8,,Eurofins,21.70677595,,,,,,,,,,,,
1,Wilcox,Pukekawa,04/02/2022,26/01/2022,1,2022,Volcanic,Fallow,Fallow,Fallow,30 - 60 cm,30,0.91,,,,,,,4,4,8,21.76561565,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
8,Lovett,Canterbury,12/02/2022,26/01/2022,1,2022,Sedimentary,Wheat,8Wheat-A,Pre-harvest,0 - 15 cm,15,1.24,6.5,0.2%,2.2%,3.9%,12,78,2,4,6,11.16407165,89.16407165,220,30,190,118,16,102,48,14,26,13,5,,Eurofins,146.3733839,,,,,,,,,,,,
8,Lovett,Canterbury,12/02/2022,26/01/2022,1,2022,Sedimentary,Wheat,8Wheat-A,Pre-harvest,15 - 30 cm,15,1.29,6,0.1%,1.7%,3.0%,13,37,1,2,4,7.738434378,44.73843438,128,19,108,66,10,56,39,12,26,6,7,,Eurofins,85.12277816,,,,,,,,,,,,
8,Lovett,Canterbury,12/02/2022,26/01/2022,1,2022,Sedimentary,Wheat,8Wheat-A,Pre-harvest,30 - 60 cm,30,1.47,,,,,,,0,0,0,0,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
8,Lovett,Canterbury,12/02/2022,26/01/2022,1,2022,Sedimentary,Wheat,8Wheat-A,Pre-harvest,60 - 90 cm,30,1.48,,,,,,,0,0,0,0,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
2,Jivans,Pukekohe,15/02/2022,04/02/2022,2,2022,Volcanic,Fallow,Fallow,Fallow,0 - 15 cm,15,0.69,6.6,0.2%,2.0%,3.5%,12,31,6,11,17,17.70670183,48.70670183,58,32,26,56,31,25,229,19,49,42,10,,Eurofins,38.88530597,,,,,,,,,,,,
2,Jivans,Pukekohe,12/02/2022,04/02/2022,2,2022,Volcanic,Fallow,Fallow,Fallow,15 - 30 cm,15,0.94,6.7,0.2%,2.0%,3.4%,11,21,0,7,7,9.90961511,30.90961511,74,41,31,52,29,22,216,19,48,39,8,,Eurofins,49.07618911,,,,,,,,,,,,
2,Jivans,Pukekohe,12/02/2022,04/02/2022,2,2022,Volcanic,Fallow,Fallow,Fallow,30 - 60 cm,30,0.91,,,,,,,2,7,9,24.4863176,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
3,Bhana,Tuakau,23/02/2022,15/02/2022,2,2022,Volcanic,Fallow,Fallow,Fallow,0 - 15 cm,15,0.69,6.3,0.2%,2.4%,4.2%,14,30,2,15,17,17.70670183,47.70670183,64,26,37,61,25,36,82,13,35,18,8,,Eurofins,42.35720829,,,,,,,,,,,,
3,Bhana,Tuakau,23/02/2022,15/02/2022,2,2022,Volcanic,Fallow,Fallow,Fallow,15 - 30 cm,15,0.94,6.3,0.2%,2.2%,3.8%,13,21,2,12,14,19.81923022,40.81923022,59,25,34,42,18,24,61,14,36,13,9,,Eurofins,39.63846044,,,,,,,,,,,,
3,Bhana,Tuakau,23/02/2022,15/02/2022,2,2022,Volcanic,Fallow,Fallow,Fallow,30 - 60 cm,30,0.91,,,,,,,4,4,7,19.04491369,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
3,Bhana,Tuakau,23/02/2022,15/02/2022,2,2022,Volcanic,Fallow,Fallow,Fallow,60 - 90 cm,30,0.76,,,,,,,5,8,12,27.42550445,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
6,Woodhaven,Levin,03/03/2022,14/02/2022,2,2022,Sedimentary,Cabbage,6Cab-A,Growth,0 - 15 cm,15,1.04,6.7,0.2%,2.5%,4.3%,10,71,7,52,59,91.94939082,162.9493908,179,106,75,115,68,48,145,18,50,23,3,,Eurofins,119.4822593,,,,,,,,,,,,
6,Woodhaven,Levin,03/03/2022,14/02/2022,2,2022,Sedimentary,Cabbage,6Cab-A,Growth,15 - 30 cm,15,1.30,7.2,0.2%,2.3%,3.9%,11,36,2,18,20,39.14428224,75.14428224,119,37,82,61,19,42,130,18,47,13,4,,Eurofins,79.59337389,,,,,,,,,,,,
