SiteID,SiteName,Region,AnalysisEndDate,SamplingDate,Month,Year,SoilType,Crop,CropID,Growth Stage,SoilLayer,Layer depth (cm),Bulk density,pH,Total Nitrogen,Total Carbon,OrganicMatter,Carbon-Nitrogen ratio,Potentially Available N,AmmoniacalN,NitrateN,MineralN,Mineral N (kg/ha),Mineral N + PAN (kg/ha),Total Hot water N (kg/ha),Hot water N INORGANIC (kg/ha),Hot water N organic(kg/ha),Hot WaterN,HotWaterSolubleInorganicN,HotWaterSolubleOrganicN,OlsenP,CalciumQT,MagnesiumQT,PotassiumQT,SodiumQT,Note,Lab,HWN to kgN for Mineralisable calc,,,,,,,,,,,,
1,Wilcox,Pukekawa,30/10/2020,22/10/2020,10,2020,Volcanic,Ryegrass,1Rye-Ab,Growth,0 - 15 cm,15,0.86,6.4,0.2%,1.9%,3.2%,11,12,1,1,1,1.29,13,31,0,0,24,,,122,15,15,16,6,,Eurofins,20.69226248,,,,,,,,,,,,
1,Wilcox,Pukekawa,30/10/2020,22/10/2020,10,2020,Volcanic,Ryegrass,1Rye-Ab,Growth,15 - 30 cm,15,0.68,6.2,0.2%,1.9%,3.2%,11,20,1,1,1,1.02,21,22,0,0,22,,,111,14,16,18,6,,Eurofins,14.93855204,,,,,,,,,,,,
1,Wilcox,Pukekawa,30/10/2020,22/10/2020,10,2020,Volcanic,Ryegrass,1Rye-Ab,Growth,30 - 60 cm,30,0.91,,,,,,,2,9,11,30,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
1,Wilcox,Pukekawa,30/10/2020,22/10/2020,10,2020,Volcanic,Ryegrass,1Rye-Ab,Growth,60 - 90 cm,30,0.76,,,,,,,5,36,40,91,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
6,Woodhaven,Levin,02/11/2020,22/10/2020,10,2020,Sedimentary,Maize,6Maize-A,Growth,0 - 15 cm,15,1.43,7.5,0.2%,2.1%,3.6%,10,46.0,1,2,3,6,52,105,0,0,49,,,162,22,37,21,5,,Eurofins,70.05173967,,,,,,,,,,,,
6,Woodhaven,Levin,02/11/2020,22/10/2020,10,2020,Sedimentary,Maize,6Maize-A,Growth,15 - 30 cm,15,1.51,7.5,0.2%,2.1%,3.6%,10,38.0,1,2,3,7,45,93,0,0,41,,,121,22,39,11,7,,Eurofins,61.83809966,,,,,,,,,,,,
6,Woodhaven,Levin,02/11/2020,22/10/2020,10,2020,Sedimentary,Maize,6Maize-A,Growth,30 - 60 cm,30,1.45,,,,,,,1,1,3,13,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
6,Woodhaven,Levin,02/11/2020,22/10/2020,10,2020,Sedimentary,Maize,6Maize-A,Growth,60 - 90 cm,30,1.43,,,,,,,1,7,8,34,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
8,Lovett,Canterbury,02/11/2020,22/10/2020,10,2020,Sedimentary,Potato,8Pot-A,Growth,0 - 15 cm,15,0.98,5.9,0.2%,2.4%,4.2%,11,141,1,92,93,137,278,280,0,0,190,,,43,15,33,26,11,Sampled from ridge - prior to finalised sampling protocol,Eurofins,186.7058305,,,,,,,,,,,,
8,Lovett,Canterbury,02/11/2020,22/10/2020,10,2020,Sedimentary,Potato,8Pot-A,Growth,15 - 30 cm,15,1.16,5.6,0.2%,2.0%,3.4%,11,113,1,74,75,131,244,209,0,0,120,,,36,13,30,15,9,Sampled from ridge - prior to finalised sampling protocol,Eurofins,139.2742785,,,,,,,,,,,,
8,Lovett,Canterbury,02/11/2020,22/10/2020,10,2020,Sedimentary,Potato,8Pot-A,Growth,30 - 60 cm,30,1.47,,,,,,,2,7,9,40,,0,0,0,,,,,,,,,Sampled from ridge - prior to finalised sampling protocol,Eurofins,0,,,,,,,,,,,,
